check_id,group,severity,status,finding,evidence
IMPL-001,files,error,pass,"00_control/llm_routing.md exists=True, bytes=3065",00_control/llm_routing.md
IMPL-002,files,error,pass,"00_control/credential_handoff.md exists=True, bytes=1300",00_control/credential_handoff.md
IMPL-003,files,error,pass,"00_control/model_orchestration.md exists=True, bytes=5652",00_control/model_orchestration.md
IMPL-004,files,error,pass,"00_control/plugin_routing.md exists=True, bytes=5359",00_control/plugin_routing.md
IMPL-005,files,error,pass,"00_control/decisions.md exists=True, bytes=42850",00_control/decisions.md
IMPL-006,files,error,pass,"10_research/deepseek_api_notes.md exists=True, bytes=1670",10_research/deepseek_api_notes.md
IMPL-007,files,error,pass,"60_model/configs/llm_task_routing.csv exists=True, bytes=9163",60_model/configs/llm_task_routing.csv
IMPL-008,files,error,pass,"60_model/src/llm_router.py exists=True, bytes=5946",60_model/src/llm_router.py
IMPL-009,files,error,pass,"60_model/src/auto_gate.py exists=True, bytes=14712",60_model/src/auto_gate.py
IMPL-010,files,error,pass,"60_model/src/deepseek_review.py exists=True, bytes=8867",60_model/src/deepseek_review.py
IMPL-011,files,error,pass,"60_model/scripts/run_deepseek_smoke_test.py exists=True, bytes=2390",60_model/scripts/run_deepseek_smoke_test.py
IMPL-012,files,error,pass,"60_model/scripts/run_deepseek_table_classification.py exists=True, bytes=17662",60_model/scripts/run_deepseek_table_classification.py
IMPL-013,files,error,pass,"60_model/scripts/review_deepseek_table_classification.py exists=True, bytes=9195",60_model/scripts/review_deepseek_table_classification.py
IMPL-014,files,error,pass,"60_model/scripts/run_deepseek_evidence_candidates.py exists=True, bytes=15044",60_model/scripts/run_deepseek_evidence_candidates.py
IMPL-015,files,error,pass,"60_model/scripts/review_deepseek_evidence_candidates.py exists=True, bytes=11288",60_model/scripts/review_deepseek_evidence_candidates.py
IMPL-016,files,error,pass,"60_model/scripts/run_deepseek_entrance_node_classification.py exists=True, bytes=12598",60_model/scripts/run_deepseek_entrance_node_classification.py
IMPL-017,files,error,pass,"60_model/scripts/review_deepseek_entrance_node_classification.py exists=True, bytes=10514",60_model/scripts/review_deepseek_entrance_node_classification.py
IMPL-018,files,error,pass,"60_model/scripts/run_deepseek_p0_verification_package.py exists=True, bytes=12642",60_model/scripts/run_deepseek_p0_verification_package.py
IMPL-019,files,error,pass,"60_model/scripts/review_deepseek_p0_verification_package.py exists=True, bytes=4874",60_model/scripts/review_deepseek_p0_verification_package.py
IMPL-020,files,error,pass,"60_model/scripts/run_deepseek_project_context_sync.py exists=True, bytes=11409",60_model/scripts/run_deepseek_project_context_sync.py
IMPL-021,files,error,pass,"60_model/scripts/review_deepseek_project_context_sync.py exists=True, bytes=3990",60_model/scripts/review_deepseek_project_context_sync.py
IMPL-022,files,error,pass,"60_model/scripts/run_deepseek_p0_detail_query_plan.py exists=True, bytes=12077",60_model/scripts/run_deepseek_p0_detail_query_plan.py
